colors	Bannagalu
hair	koodalu
hand	kaiy
head	thale
heart	hrudaya
knee	mandi
leg	kaalu
lip	thuti
mouth	baayi
neck	katthhu
nose	moogu
shoulder	bhuja
stomach	hotte
teeth	danthagalu
thigh	thodhe
throat	gantalu
thumb	hebberalu
toe	kaalu
tongue	naalige
tooth	hallu
Languages	bhashegalu
Arabic	Arabic
Chinese	Chinese
English	angla bhashe
French	French
German	German
Greek	Greek
Hebrew	Hebrew
Hindi	Hindi
Italian	Italian
Japanese	Japanese
Korean	Korean
Latin	Latin
Russian	Russian
Spanish	Spanish
Urdu	Urdu
Days	dinagalu
Monday	somavaara
Tuesday	mangala vaara
Wednesday	bhudha vaara
Thursday	guru vaara
Friday	shukkra vaara
Saturday	shani vaara
Sunday	bhanu vaara
time	samaya
hour	ghante
minute	nimisha
second	secondu
different objects	vividha vasthugalu
art	kale
bank	banku
beach	beechu
book	pusthaka
by bicycle	cyclinindha
by bus	bassinindha
by car	carinindha
by train	railinindha
cafe	koffy
country	desha
desert	marubhoomi
dictionary	padhabandha
earth	bhoomi
flowers	hoovugalu
football	chendu
forest	kaadu
game	aata
garden	udhyana
geography	bhoogola
history	ithihaasa
house	mane
island	dweepa
lake	sarovara
library	pusthakalaya
math	ganittha
moon	chandra
mountain	betta
movies	cinema
music	sangeetha
ocean	saaagara
office	kacheri
on foot	nadedhu
player	aatagara
river	nadhi
science	vignyana
sea	samudhra
sky	aakasha
soccer	chendata
stars	nakshathragalu
supermarket	maarukatte
swimming pool	eejukola
theater	theatarru
tree	maraa
weather	havaamaana
bad weather	ketta havaamaana
cloudy	modaa kavidha
cold	thaange
cool	thampu
foggy	manju
hot	bisi
nice weather	olle havaamaana
pouring	surithaidhe
rain	malee
raining	malee barthaidhe
snow	hima
snowing	himapaatha
ice	manjugadde
sunny	suryakavidha
windy	gaali
spring	shishira
summer	besige
autumn	sharath
winter	chaligala
people	janaru
aunt	at the
baby	magu
brother	thamma/anna(younger/elder)
cousin	thamma
daughter	magalu
dentist	dantha vaidhya
doctor	vaidhya
father	thandhe
grandfather	thaatha
grandmother	ajji
husband	ganda
mother	amma
nephew	thammana maga/annana maga
niece	thammana magalu/annana magalu
nurse	daadi
policeman	policu
postman	post manushya
professor	professaru
son	maga
teacher	gurugalu
uncle	maava/maama
wife	hendathi
Plural	bahu vachana
my book	nanna pustaka
my books	nana pustakagalu
our daughter	namma magalu
our daughters	namma hennu makkalu
I'm cold	nanage sheetha
we're cold	namage sheetha
his chickens	avana koligalu
their chicken	avara koligalu
alligator	mosale
alligators	mosalegalu
bear	karadi
bears	karadigalu
bird	pakshi
birds	pakshigalu
bull	gooli
bulls	gooligalu
cat	bekkku
cats	bekkugalu
cow	hasu
cows	hasugalu
deer	jinke
many deer	hala jinke
dog	naayi
dogs	naayigalu
donkey	katthe
donkeys	katthegalu
eagle	haddhu
eagles	haddhugalu
elephant	aane
elephants	aanegalu
giraffe	giraffe
giraffes	giraffegalu
goat	aadu
goats	aadugalu
horse	kudure
horses	kuduregalu
lion	simha
lions	simhagalu
monkey	kothi
monkeys	kothigalu
mouse	ili
mice	iligalu
rabbit	mola
rabbits	molagalu
snake	haavu
snakes	haavugalu
tiger	huli
tigers	huligalu
wolf	thola
wolves	tholagalu
Phrases	vakyagalu
hello	namaskara
bye	vandhane
congratulations	shubasuchane
sorry	kshmisi
really	nijavagalu
we admit it	naavu adhannu oppikondevu
they advised him	avaru avanige advise maadidharu
I can agree with that	naanu adhakke oppaballe
she allows it	avalu adhaannu opputhaale
we announce it	naavu adhannu vicharisutheeve
I can apologize	naanu kshamekelaballe
she appears today	avalu eevatthu kaanisidhalu
they arranged that	avaru adhannu anusaravaghisidharu
I can arrive tomorrow	naanu naale baraballe
she can ask him	avalu adhannu kelabhaudhu
she attaches that	avalu adhannu antisidhalu
we attack them	naavu adhannu dhaaali maadona
they avoid her	avaru avalannu nirakarisidharu
I can bake it	naanu adhannu beyisaballe
she is like him	avalu avana thara
we beat it	naavu adhannu hathhikka balleveu
they became happy	avaru santhosha pattaru
I can begin that	naanu adharindha aarambisaballe
we borrowed money	naavu hanavannu thegedukondhevu
they breathe air	avaru gaali sevisuthhare
I can bring it	naanu adhannu tharaballe
I can build that	naanu adhannu kattaballe
she buys food	avalu ootavannu kondhalu
we calculate it	naavu adhanu koodutheve
they carry it	avaru adhanu tharuthhare
they don't cheat	avaru mosa maaduvudilla
she chooses him	avalu avannannu aarisidhalu
we close it	naavu adhannu muchhuidevu
he comes here	avanu illi baruthhane
I can compare that	naannu adhannu aleyaballe
she competes with me	avalu naana jhothege paiphotisutthale
we complain about it	naavu adhara bagge complain maadidhevu
they continued reading	avaru adhannu odhuvudhannu mundhuvarisidharu
he cried about that	avanu adhara baggae atthanu
I can decide now	naanu adhannu nirdharisaballe
she described it to me	avalu adhannu nanage vivarisidhalu
we disagree about it	naavu adhannu oppikondevu
they disappeared quickly	avaru thakshana mayavagibittaru
I discovered that	naanu adhannu kandhu hididhenu
she dislikes that	avalu adhannu ishta padhuvudilla
we do it	naavu idhannu maaduvevu
they dream about it	avaru adhara bagge aalochisidharu
I earned	naanu adhannu samphadhisidhe
he eats a lot	avanu thumbha thinnuthhane
we enjoyed that	naavu adhannu thrupthi pattevu
they entered here	naavu illi thalupidhevu
he escaped that	avanu adharindha thappisikondha
I can explain that	naanu adhannu vivarisaballe
she feels that too	avalu adhannu saha neneyuthhale
we fled from there	naavu allindha odidhevu
they will fly tomorrow	avaur naale haaruthhare
I can follow you	naanu ninnnannu himbhalisidhe
she forgot me	avalu nannanna marethalu
we forgive him	naavu avannannu kshamisuthheve
I can give her that	naanu avalige adhannu kotte
she goes there	avalu allighe hoguthiddale
we greeted them	naavu avarrige vandhisidhevhu
I hate that	naanu adhannu ishtha paduvudhilla
I can hear it	naanu adhannu kelabhalle
she imagine that	avalu adhannu kalphane madhikondhalu
we invited them	naavu avannannu karedhevu
I know him	nannage avanu gotthu
she learned it	avalu adhannu kalithalu
we leave now	naavu eega bidutheve
they lied about him	avaru avana bagge sullu helidharu
I can listen to that	naanu adhakke kellaballe
she lost that	avalu adhannu kaledhukondalu
we made it yesterday	naavu idhaanu ninne madhidhevu
they met him	avaru avannannu nodhidharu
I misspell that	naanu adhannu thappagi helidhe
I always pray	naanu yavaagalu prarhthane maaduthhene
she prefers that	avalu adhannu ishata padhuttale
we protected them	naavu avarannu rakshisutteve
they will punish her	avaru avalige shikshe kodutthaare
I can put it there	naanu adhannu alli idhaballe
she will read it	avalu adhannu odhuttale
we received that	naavu adhannu punaravarthisidharu
they refuse to talk	avaur mathanaaduvudhakke niraakharisidharu
I remember that	naanage adhu gnapakha idhe
she repeats that	avalu adhannu mathhe helidhalu
we see it	naanvu adhannu nodidhaevu
they sell it	avaru adhannu salahisidharu
I sent that yesterday	naanu adhannu ninne kalisidhe
he shaved his beard	avanu avana gaddavannu keredhanu
it shrunk quickly	addhu bega ksheenavayithu
we will sing it	naavu adhannu haaduvevu
they sat there	avaru alli kulitharu
I can speak it	naanu adhannu mathadaballe
she spends money	avalu hannavannu kharchu maadhidhalu
we suffered from that	naavu adharindha bhadhege ola pattevu
they suggest that	avaru adhannu salahisidharu
I surprised him	naanu avanige ashcharya padisidhe
she took that	avalu adhannu thegedhukondalu
we teach it	naavu bhodhane maadidhevu
they told us	avaru nannage helidharu
she thanked him	avalu avanige dhanyawhadha helidhalu
I can think about it	naanu adhara bagge yochane
she threw it	avalu adhannu yesedhalu
we understand that	namage adhu arthavagutthadhe
they want that	avarige adhu beku
I can wear it	naanu ahadahnnu dharisaballe
she writes that	avalu adhannu bareyuthaale
we talk about it	naavu adhara bagge mathadona
they have it	avara hatthira idhe
I watched it	naanu nodidhe
I will talk about it	naanu adhara bagge mathanadutheene
he bought that yesterday	avanu adhannu ninne thegedhu konda
we finished it	naavu mugisidhevu
a green tree	ondhu hasiru maraa
a tall building	ondhu uddhha kattada
a very old man	obba thumbha vayassadha manushya
the old red house	ondhu haleyadhadha mane
a very nice friend	obba thumbha olle geleya
colors	Bannagalu
black	Kappu
blue	neeli
brown	kandhu
gray	thizi
green	hasiru
orange	kesari
purple	nerale
red	kempu
white	bili
yellow	harishina
sizes	Gathra
big	dodda
deep	aala
long	uddha
narrow	sanna
short	chikka
small	sanna
tall	uddha
thick	dappa
thin	thelu
wide	agala
shapes	aakaragalu
circular	gola
straight	nera
square	gathra
triangular	thribhuja
tastes	ruchigalu
bitter	kahi
fresh	thaja
salty	uppu
sour	huli
spicy	khhara
sweet	sihi
qualities	nadathe
bad	ketta
clean	shubhra
dark	kathhale
difficult	kashta
dirty	galiju
dry	ona
easy	sulabha
empty	khali
expensive	dhubhari
fast	sheeghra
foreign	vidheshi
full	poora
good	olle
hard	gatti
heavy	bhhara
inexpensive	thutti
light	hagura
local	sthaleeya
new	hosa
noisy	galate
old	hale
powerful	shakthishalli
quiet	prasannathe
correct	sari
slow	nidhana
soft	komala
very	thumbha
weak	dhurbhala
wet	theva
wrong	thappu
young	yuva
quantities	alathegalu
few	kelavu
little	swalpha
many	hala
much	jasthi
part	bhagha
some	kela
a few	kelavu
whole	poora
I read a book sometimes	naanu kelasamaya pusthakavannu odhuthhene
I will never smoke	naanu dhoomphana maaduvudihiilla
are you alone?	neevu obbareiddhira
adverbs of time	samayadha kriyāpada
yesterday	niinne
today	indhu
tomorrow	naale
now	eega
then	aagale
later	aamele
tonight	ivathu rathri
right now	ee samaya
last night	ninnne rahthri
this morning	indhu belagge
next week	mundhina vaara
already	aavagalae
recently	ittheechina
lately	nanthra
soon	sheeghradhalli
immediately	thakshana
still	innuu
yet	innuu
ago	hindhe
adverbs of place	sthaladha kriyāpada
here	illi
there	alli
over there	dooradalli
everywhere	ella kade
anywhere	elladharu
nowhere	elliyu illa
home	mane
away	dhoora
out	horage
adverbs of manner	gunadha kriyāpada
very	thuumbha
quite	samanyavagi
pretty	sundhara
really	nizhavaagi
fast	veega
well	sari
hard	khsatha
quickly	thakshana
slowly	nidhanaavagi
carefully	sookshmavaagi
hardly	kashthavaagi
barely	mele
mostly	samanyavagi
almost	poora
absolutely	khandheetha
together	jotheyali
alone	obbane/obbale
adverbs of frequency	sambhavadha kriyāpada
always	yavaagalu
frequently	aaagaagaa
usually	samanyavaagi
sometimes	yavaagaladharu
occasionally	samanyavaagi
seldom	thaathakaalika
rarely	thaathakaalika
never	illave illa
Feminine	sthree linga
he is happy	avanu santhoshavagiddhane
she is happy	avalu santhoshavagiddhale
he is American	avanu americadavanu
she is American	avalu americadavanu
man	gandasu
woman	hengasu
father	appa
mother	amma
brother	thamma
sister	thangi
uncle	maava
aunt	at the
bull	gooli
cow	hasu
boy	huduga
girl	hudugi
objects	vasthugalu
bathroom	bacchaalu mane
bed	mancha
bedroom	kone
ceiling	chavani
chair	kurchi
clothes	battegalu
coat	kotu
cup	kappu
desk	meju
dress	vasthra/battegalu
floor	nela
fork	forku
furniture	mejugalu
glass	gajugalu
hat	topi
house	mane
ink	inku
jacket	jackettu
kitchen	adige mane
knife	katthi
lamp	lampu
letter	kagadha
map	boogola pustaka
newspaper	dina pathrike
notebook	pustaka
pants	pantu
paper	kagadha
pen	pennu
pencil	pencillu
pharmacy	oushadhalaya
picture	chitra
plate	thatte
refrigerator	fridge
restaurant	hotelu
roof	chavani
room	roomu
rug	raggu
scissors	katthari
shampoo	shampoo
shirt	angi
shoes	bootu
soap	saabunu
socks	kaicheela
spoon	chamacha
table	meju
toilet	shauchalaya
toothbrush	dhantha shubraka
toothpaste	dhantha shubraka
towel	tholina vasthra
umbrella	chatri
underwear	ola udupu
wall	gode
wallet	jebu
window	kitaki
telephone	dooravani
Prepositions	padha punja
inside the house	maneya olage
outside the car	carina horagade
with me	nanna jothe
without him	avanilladhe
under the table	mejina kelage
after tomorrow	naale adhamele
before sunset	suryasthadha olage
but I'm busy	adhare naanu thumbha busy
about	bagge
above	mele
across	moolaka
after	aamele
against	viruddha
among	madhye
around	suthha
as	haage
at	alli
before	aagale
behind	hindhe
below	kelage
beneath	kelage
beside	pakka
between	madhye
beyond	dhhora
but	aadhare
by	moolaka
despite	aadhare
down	kelage
during	aaga
except	bittu
for	adhakkagi
from	adharindha
in	indha
inside	olagindha
into	olagindha
near	hatthira
next	balika
of	indha
on	mele
opposite	viruddha
out	horage
outside	horagade
over	mele
per	madhye
plus	matthu
round	gola
since	indha
than	mele
through	indha
till	alliyavaregu
to	indha
toward	sameepa
under	kelage
unlike	adhannu bittu
until	alliyavaregu
up	mele
via	indha
with	jothe
within	olagindha
without	illadhe
two words	eradu padhagalu
according to	adhakkanusaravagi
because of	adhakkagi
close to	adhara hatthira
due to	addhakkagi
except for	adhannu biitu
far from	adhrindha dhoora
inside of	adhara olage
instead of	adannu bittu
near to	adhara hatthira
next to	adhara balika
outside of	adharindha horage
prior to	addhakintha hindhe
three words	mooru padhagalu
as far as	eevaregu
as well as	atharindha
in addition to	athara jothege
in front of	athara mundhe
in spite of	athagyu
on behalf of	adhakkagi
on top of	adhara mele
demonstrative prepositions	demonstrative prepositions
this	idhu
that	adhu
these	ivu
those	avu
Questions	prashnegalu
how?	hege?
what?	yenu?
who?	yaaru?
why?	yaake?
where?	yelli?
where is he?	avanu yelli
what is this?	idhu yenu
why are you sad?	neenu yake heegidhiya
how do you want to pay?	neevu hege pavathi madabayasuthheera
can I come?	naanu barabahude
is he sleeping?	avanu niddhe maduthaiddhaneye?
do you know me?	ninage naanu gothha
do you have my book?	ninna bali nanna pustaka idheya
how big is it?	adhu eshtu dhoddadhu
can I help you?	naanu nimage sahaya madabahude
can you help me?	nanage sahaya maduthhira
do you speak English?	neevu inglish mathanadutthira
how far is this?	idhu esthu doora ide
what time is it?	eega esthu ghante
how much is this?	idhu esthu doora ide
what is your name?	ninna hesaru yenu
where do you live?	neevu elli vaasisutheera
Pronouns	sarvanaamagalu
I	naanu
you	neenu
he	avanu
she	avalu
we	naavu
they	avvaru
me	nanna, nannage
you	ninna, nimage
him	avana, avanige
her	avala,avalige
us	namma
them	avarige
my	namma
your	ninna
his	avana
her	avala
our	namma
their	avara
mine	nanna
yours	nimma
his	avana
hers	avala
ours	namma
theirs	avara
I speak	naanu mathanaduthini
you speak	neenu mathanaduthiya
he speaks	avanu mathanaduthiddane
she speaks	avalu mathanaduthaailddale
we speak	naavu mathanaduthiddeve
they speak	avaru mathanaduthiddare
give me	nanage kodi
give him	avanige kodu
give her	avalige kodu
give us	namage kodu
give them	avarige kodu
my book	nanna pustaka
your book	ninna pustaka
his book	avana pustaka
her book	avala pustaka
our book	namma pustaka
their book	avara pustaka
Verbs	kriya padhagalu
Past	bootha
I spoke	naanu mathanadide
I wrote	naanu baredhe
I drove	naanu odisidhe
I loved	naanu preethiside
I gave	naanu kotte
I smiled	naanu nakke
I took	naanu thegedhukonde
he spoke	avanu mathanadida
he wrote	avanu baredha
he drove	avanu odisidha
he loved	avanu preeti madhida
he gave	avanu kotta
he smiled	avanu nakka
he took	avanu tegedukonda
we spoke	naavu mathanadidhevu
we wrote	naavu baredhevu
we drove	naavu odisidhevu
we loved	naavu preethisidevu
we gave	naavu kottevu
we smiled	naavu nakkevu
we took	naavu tegedukondevu
Future	bhavishya kala
I will speak	naanu mathanaduthhene
I will write	naanu bareyutheeni
I will drive	naanu odisutheeni
I will love	naanu preethisuthene
I will give	naanu koduthene
I will smile	naanu naguthenne
I will take	naanu tegedukolluthene
he will speak	avanu mathanaduthhane
he will write	avanu bareyuthaane
he will drive	avanu odisutthane
he will love	avanu preethisuthhane
he will give	avanu koduthhane
he will smile	avanu naguthhane
he will take	avanu tegedhukolluthane
we will speak	naavu mathanaadona
we will write	naavu bareyona
we will drive	naavu odisona
we will love	naavu preethisona
we will give	naavu kodona
we will smile	naavu nagona
we will take	naavu thagolonna
Present	varthamana kaala
I speak	nannu mathanadutthne
I write	naanu bareyuthenne
I drive	naanu odisutheene
I love	naanu preethi madutheene
I give	naanu koduthheene
I smile	nannu nagutheene
I take	naanu tegedukolluthene
he speaks	avanu mathanadutthaiddhane
he writes	avanu bareyuthhaiddhane
he drives	avanu odisuthhaiddhane
he loves	avanu preethisutthaiddhane
he gives	avanu koduthaiddhane
he smiles	avanu nagtthaiddhane
he takes	avanu tegedhukolluthaane
we speak	naavu mathanaduthheve
we write	naavu bareyuthevve
we drive	naavu odisutheeve
we love	naavu preethisutheeve
we give	naavu kodutheeve
we smile	naavu nagutheeve
we take	naavu tegedukollutheve
I can accept that	naanu adhannu thegedhu kollaballe
she added it	avalu adhakke haakidhalu
we admit it	naavu adhannu oppikondevu
they advised him	avaru avanige advise maadidharu
I can agree with that	naanu adhakke oppaballe
she allows it	avalu adhaannu opputhaale
we announce it	naavu adhannu vicharisutheeve
I can apologize	naanu kshamekelaballe
she appears today	avalu eevatthu kaanisidhalu
they arranged that	avaru adhannu anusaravaghisidharu
I can arrive tomorrow	naanu naale baraballe
she can ask him	avalu adhannu kelabhaudhu
she attaches that	avalu adhannu antisidhalu
we attack them	naavu adhannu dhaaali maadona
they avoid her	avaru avalannu nirakarisidharu
I can bake it	naanu adhannu beyisaballe
she is like him	avalu avana thara
we beat it	naavu adhannu hathhikka balleveu
they became happy	avaru santhosha pattaru
I can begin that	naanu adharindha aarambisaballe
we borrowed money	naavu hanavannu thegedukondhevu
they breathe air	avaru gaali sevisuthhare
I can bring it	naanu adhannu tharaballe
I can build that	naanu adhannu kattaballe
she buys food	avalu ootavannu kondhalu
we calculate it	naavu adhanu koodutheve
they carry it	avaru adhanu tharuthhare
they don't cheat	avaru mosa maaduvudilla
she chooses him	avalu avannannu aarisidhalu
we close it	naavu adhannu muchhuidevu
he comes here	avanu illi baruthhane
I can compare that	naannu adhannu aleyaballe
she competes with me	avalu naana jhothege paiphotisutthale
we complain about it	naavu adhara bagge complain maadidhevu
they continued reading	avaru adhannu odhuvudhannu mundhuvarisidharu
he cried about that	avanu adhara baggae atthanu
I can decide now	naanu adhannu nirdharisaballe
she described it to me	avalu adhannu nanage vivarisidhalu
we disagree about it	naavu adhannu oppikondevu
they disappeared quickly	avaru thakshana mayavagibittaru
I discovered that	naanu adhannu kandhu hididhenu
she dislikes that	avalu adhannu ishta padhuvudilla
we do it	naavu idhannu maaduvevu
they dream about it	avaru adhara bagge aalochisidharu
I earned	naanu adhannu samphadhisidhe
he eats a lot	avanu thumbha thinnuthhane
we enjoyed that	naavu adhannu thrupthi pattevu
they entered here	naavu illi thalupidhevu
he escaped that	avanu adharindha thappisikondha
I can explain that	naanu adhannu vivarisaballe
she feels that too	avalu adhannu saha neneyuthhale
we fled from there	naavu allindha odidhevu
they will fly tomorrow	avaur naale haaruthhare
I can follow you	naanu ninnnannu himbhalisidhe
she forgot me	avalu nannanna marethalu
we forgive him	naavu avannannu kshamisuthheve
I can give her that	naanu avalige adhannu kotte
she goes there	avalu allighe hoguthiddale
we greeted them	naavu avarrige vandhisidhevhu
I hate that	naanu adhannu ishtha paduvudhilla
I can hear it	naanu adhannu kelabhalle
she imagine that	avalu adhannu kalphane madhikondhalu
we invited them	naavu avannannu karedhevu
I know him	nannage avanu gotthu
she learned it	avalu adhannu kalithalu
we leave now	naavu eega bidutheve
they lied about him	avaru avana bagge sullu helidharu
I can listen to that	naanu adhakke kellaballe
she lost that	avalu adhannu kaledhukondalu
we made it yesterday	naavu idhaanu ninne madhidhevu
they met him	avaru avannannu nodhidharu
I misspell that	naanu adhannu thappagi helidhe
I always pray	naanu yavaagalu prarhthane maaduthhene
she prefers that	avalu adhannu ishata padhuttale
we protected them	naavu avarannu rakshisutteve
they will punish her	avaru avalige shikshe kodutthaare
I can put it there	naanu adhannu alli idhaballe
she will read it	avalu adhannu odhuttale
we received that	naavu adhannu punaravarthisidharu
they refuse to talk	avaur mathanaaduvudhakke niraakharisidharu
I remember that	naanage adhu gnapakha idhe
she repeats that	avalu adhannu mathhe helidhalu
we see it	naanvu adhannu nodidhaevu
they sell it	avaru adhannu salahisidharu
I sent that yesterday	naanu adhannu ninne kalisidhe
he shaved his beard	avanu avana gaddavannu keredhanu
it shrunk quickly	addhu bega ksheenavayithu
we will sing it	naavu adhannu haaduvevu
they sat there	avaru alli kulitharu
I can speak it	naanu adhannu mathadaballe
she spends money	avalu hannavannu kharchu maadhidhalu
we suffered from that	naavu adharindha bhadhege ola pattevu
they suggest that	avaru adhannu salahisidharu
I surprised him	naanu avanige ashcharya padisidhe
she took that	avalu adhannu thegedhukondalu
we teach it	naavu bhodhane maadidhevu
they told us	avaru nannage helidharu
she thanked him	avalu avanige dhanyawhadha helidhalu
I can think about it	naanu adhara bagge yochane
she threw it	avalu adhannu yesedhalu
we understand that	namage adhu arthavagutthadhe
they want that	avarige adhu beku
I can wear it	naanu ahadahnnu dharisaballe
she writes that	avalu adhannu bareyuthaale
we talk about it	naavu adhara bagge mathadona
they have it	avara hatthira idhe
I watched it	naanu nodidhe
I will talk about it	naanu adhara bagge mathanadutheene
he bought that yesterday	avanu adhannu ninne thegedhu konda
we finished it	naavu mugisidhevu
Negation	nishedha
he is not here	avanu illi illa
that is not my book	adhu naana pushtaka alla
do not enter	barabeda
I don't speak	naanu mathanaduvudiilla
I don't write	naanu bareyuvudiilla
I don't drive	naanu odisuvudilla
I don't love	naanu preeti maduvudilla
I don't give	naanu koduvudilla
I don't smile	naanu naguvudilla
I don't take	naanu tegedukolluvudhillla
he doesn't speak	avanu mathanaduvudilla
he doesn't write	avanu bareuvudhilla
he doesn't drive	avanu odisuvudhilla
he doesn't love	avanu preethi maaduvudilla
he doesn't give	avanu koduvudilla
he doesn't smile	avanu naguvudilla
he doesn't take	avanu tegedukolluvudilla
we don't speak	naavu mathanaaduvudhiilla
we don't write	naavu bareuvudhillla
we don't drive	naavu odisuvudhillla
we don't love	naavu preethi maaduvudilla
we don't give	naavu koduvudilla
we don't smile	naavu naguvudilla
we don't take	naavu tegedukolluvudilla
Hello	 Namaskara 
How are you? 	Neevu Chennaagidira
I am fine	Naanu chennagiddene 
 Fine, thank you.	Chennagiddene. Dhanyavaada 
Goodbye 	Hogibitt barthene
What is your name?	Nimma hessarenu?
My name is… 	Nanna hesaru…
Nice to meet you.  	Nimmannu nodi santhoshavaythu.
Please 	 Dayavit.t.u.
